名称,郵便番号,所在地,TEL,学校種別,BCODE,SCODE,HCODE,EDIT_DAT,x,y
千代田町立千代田中学校,370-0503,千代田町赤岩1920,0276-86-3222,中,公立中学校,公立中学校,公立中学校,2015/10/,139.4439233,36.21618572
大泉町立南中学校,370-0523,大泉町吉田2465,0276-62-2053,中,公立中学校,公立中学校,公立中学校,2015/10/,139.4075355,36.24573855
大泉町立北中学校,370-0518,大泉町城之内2-24-1,0276-62-2059,中,公立中学校,公立中学校,公立中学校,2015/10/,139.4126587,36.26138651
邑楽町立邑楽中学校,370-0603,邑楽町中野2371,0276-88-0150,中,公立中学校,公立中学校,公立中学校,2015/10/,139.4576796,36.25462312
邑楽町立邑楽南中学校,370-0615,邑楽町篠塚1445,0276-88-2120,中,公立中学校,公立中学校,公立中学校,2015/10/,139.4619192,36.24212982
板倉町立板倉中学校,374-0132,板倉町板倉2770,0276-82-1148,中,公立中学校,公立中学校,公立中学校,2015/10/,139.6007542,36.22892384
高崎市立榛名中学校,370-3345,高崎市上里見町430,027-374-1455,中,公立中学校,公立中学校,公立中学校,2015/10/,138.893133,36.38016897
安中市立第一中学校,379-0116,安中市安中5-8-1,027-381-0459,中,公立中学校,公立中学校,公立中学校,2015/10/,138.9048913,36.33671121
安中市立第二中学校,379-0133,安中市原市2245-2,027-385-7857,中,公立中学校,公立中学校,公立中学校,2015/10/,138.8559574,36.31462041
安中市立松井田南中学校,379-0225,安中市松井田町八城甲481,027-393-1320,中,公立中学校,公立中学校,公立中学校,2015/10/,138.8076062,36.30387689
安中市立松井田北中学校,379-0211,安中市松井田町上増田3602-1,027-393-1520,中,公立中学校,公立中学校,公立中学校,2015/10/,138.7801787,36.34695465
富岡市立妙義中学校,379-0206,富岡市妙義町中里218,0274-73-2117,中,公立中学校,公立中学校,公立中学校,2015/10/,138.8009236,36.29304165
安中市立松井田東中学校,379-0221,安中市松井田町新堀236-16,027-393-1122,中,公立中学校,公立中学校,公立中学校,2015/10/,138.7917021,36.31553044
前橋市立第一中学校,371-0805,前橋市南町1-20-5,027-224-7731,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0654594,36.38054919
前橋市立第三中学校,371-0027,前橋市平和町2-13-24,027-231-1405,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0624289,36.40072108
前橋市立元総社中学校,371-0852,前橋市総社町総社3060,027-253-5481,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0351863,36.3951638
前橋市立東中学校,371-0833,前橋市光が丘町3,027-251-5491,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0557004,36.3721199
前橋市立箱田中学校,371-0835,前橋市前箱田町396-1,027-252-5711,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0479964,36.36071598
高崎市立第一中学校,370-0806,高崎市上和田町16-1,027-322-5395,中,公立中学校,公立中学校,公立中学校,2015/10/,138.9967214,36.33326463
高崎市立高松中学校,370-0829,高崎市高松町5-3,027-322-3853,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0013093,36.3263305
高崎市立並榎中学校,370-0802,高崎市並榎町60,027-361-8419,中,公立中学校,公立中学校,公立中学校,2015/10/,138.9941714,36.342218
高崎市立豊岡中学校,370-0874,高崎市中豊岡町350-2,027-322-2215,中,公立中学校,公立中学校,公立中学校,2015/10/,138.9699486,36.33651537
高崎市立中尾中学校,370-0001,高崎市中尾町791,027-361-8810,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0284669,36.36209612
高崎市立長野郷中学校,370-0077,高崎市上小塙町325-1,027-343-2902,中,公立中学校,公立中学校,公立中学校,2015/10/,138.9731638,36.35748526
高崎市立大類中学校,370-0036,高崎市南大類町1455,027-352-3253,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0356577,36.32963494
高崎市立塚沢中学校,370-0063,高崎市飯玉町109,027-361-8400,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0164656,36.33915745
高崎市立片岡中学校,370-0862,高崎市片岡町1-14-1,027-322-7485,中,公立中学校,公立中学校,公立中学校,2015/10/,138.9938827,36.32032622
高崎市立佐野中学校,370-0851,高崎市上中居町345,027-322-6316,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0251457,36.31703554
高崎市立南八幡中学校,370-1213,高崎市山名町30-1,027-346-2337,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0375589,36.28166213
高崎市立倉賀野中学校,370-1201,高崎市倉賀野町1270,027-346-2308,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0423763,36.29505606
高崎市立高南中学校,370-0027,高崎市上滝町1032-2,027-352-2927,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0703697,36.3220605
高崎市立寺尾中学校,370-0865,高崎市寺尾町2710,027-322-8527,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0093144,36.30335195
高崎市立八幡中学校,370-0884,高崎市八幡町1300-1,027-343-1222,中,公立中学校,公立中学校,公立中学校,2015/10/,138.9433236,36.34445199
高崎市立矢中中学校,370-1203,高崎市矢中町700-1,027-347-3636,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0563343,36.30922736
富岡市立北中学校,370-2306,富岡市相野田636,0274-62-3009,中,公立中学校,公立中学校,公立中学校,2015/10/,138.9237364,36.2890617
高崎市立箕郷中学校,370-3102,高崎市箕郷町生原654,027-371-3551,中,公立中学校,公立中学校,公立中学校,2015/10/,138.9640925,36.39687186
高崎市立群馬中央中学校,370-3531,高崎市金古町352-1,027-373-2231,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0039538,36.40299116
高崎市立群馬南中学校,370-3525,高崎市三ﾂ寺町712,027-372-1525,中,公立中学校,公立中学校,公立中学校,2015/10/,138.995289,36.37478837
前橋市立第五中学校,371-0801,前橋市文京町3-20-5,027-221-5975,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0880477,36.37934782
前橋市立第七中学校,371-0814,前橋市宮地町260-1,027-265-0946,中,公立中学校,公立中学校,公立中学校,2015/10/,139.1040201,36.34040756
前橋市立春日中学校,371-0816,前橋市上佐鳥町207,027-265-1941,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0862835,36.3622278
前橋市立広瀬中学校,371-0813,前橋市後閑町437-1,027-265-3755,中,公立中学校,公立中学校,公立中学校,2015/10/,139.1086339,36.35741958
前橋市立桂萱中学校,371-0007,前橋市上泉町175,027-231-3066,中,公立中学校,公立中学校,公立中学校,2015/10/,139.1033125,36.39618426
前橋市立木瀬中学校,379-2121,前橋市小屋原町1811-1,027-266-0069,中,公立中学校,公立中学校,公立中学校,2015/10/,139.1292011,36.36335647
前橋市立荒砥中学校,379-2106,前橋市荒子町1338,027-268-2004,中,公立中学校,公立中学校,公立中学校,2015/10/,139.164663,36.38147762
伊勢崎市立第一中学校,372-0034,伊勢崎市茂呂町1-24-1,0270-25-4456,中,公立中学校,公立中学校,公立中学校,2015/10/,139.1959615,36.30801687
伊勢崎市立第二中学校,372-0834,伊勢崎市堀口町237-1,0270-32-0047,中,公立中学校,公立中学校,公立中学校,2015/10/,139.1859516,36.29115604
伊勢崎市立第三中学校,372-0001,伊勢崎市波志江町1903-1,0270-24-2151,中,公立中学校,公立中学校,公立中学校,2015/10/,139.1903634,36.34324883
伊勢崎市立殖蓮中学校,372-0013,伊勢崎市上植木本町2152-2,0270-25-4445,中,公立中学校,公立中学校,公立中学校,2015/10/,139.2142119,36.3304889
伊勢崎市立宮郷中学校,372-0802,伊勢崎市田中島町1065,0270-25-4448,中,公立中学校,公立中学校,公立中学校,2015/10/,139.1570983,36.32221609
伊勢崎市立赤堀中学校,379-2204,伊勢崎市西久保町2-398,0270-62-0133,中,公立中学校,公立中学校,公立中学校,2015/10/,139.2300494,36.37942328
玉村町立玉村中学校,370-1105,玉村町福島913,0270-65-2019,中,公立中学校,公立中学校,公立中学校,2015/10/,139.1277644,36.31199082
玉村町立南中学校,370-1127,玉村町上之手1748,0270-65-8188,中,公立中学校,公立中学校,公立中学校,2015/10/,139.122405,36.29875482
教育学部附属中学校,371-0052,前橋市上沖町612,027-231-4651,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0875256,36.40891999
伊勢崎市立あずま中学校,379-2231,伊勢崎市東町2707-2,0270-32-0054,中,公立中学校,公立中学校,公立中学校,2015/10/,139.2434105,36.34387261
伊勢崎市立境北中学校,370-0103,伊勢崎市境下淵名2011-1,0270-76-0003,中,公立中学校,公立中学校,公立中学校,2015/10/,139.238909,36.29930192
桐生市立中央中学校,376-0025,桐生市美原町2-15,0277-44-2472,中,公立中学校,公立中学校,公立中学校,2015/10/,139.3294813,36.40652363
桐生市立境野中学校,376-0002,桐生市境野町6-1673,0277-44-4249,中,公立中学校,公立中学校,公立中学校,2015/10/,139.3542279,36.38340166
桐生市立広沢中学校,376-0013,桐生市広沢町4-1864-2,0277-52-7050,中,公立中学校,公立中学校,公立中学校,2015/10/,139.3407292,36.38023765
桐生市立相生中学校,376-0011,桐生市相生町5-247,0277-53-6121,中,公立中学校,公立中学校,公立中学校,2015/10/,139.2997496,36.40938829
桐生市立桜木中学校,376-0013,桐生市広沢町1-2874,0277-52-7200,中,公立中学校,公立中学校,公立中学校,2015/10/,139.3237045,36.39445905
太田市立西中学校,373-0056,太田市八幡町24-1,0276-22-3305,中,公立中学校,公立中学校,公立中学校,2015/10/,139.3666663,36.30026121
太田市立北中学校,373-0025,太田市熊野町2-1,0276-22-3306,中,公立中学校,公立中学校,公立中学校,2015/10/,139.3850445,36.30405127
太田市立強戸中学校,373-0051,太田市天良町72-3,0276-37-0734,中,公立中学校,公立中学校,公立中学校,2015/10/,139.3353488,36.33360062
太田市立宝泉中学校,373-0042,太田市宝町735,0276-31-4177,中,公立中学校,公立中学校,公立中学校,2015/10/,139.329688,36.28514115
太田市立毛里田中学校,373-0016,太田市矢田堀町242-2,0276-37-1205,中,公立中学校,公立中学校,公立中学校,2015/10/,139.384486,36.33708076
太田市立城西中学校,373-0032,太田市新野町74,0276-32-2115,中,公立中学校,公立中学校,公立中学校,2015/10/,139.3487883,36.30498387
太田市立生品中学校,370-0314,太田市新田市野井町121,0276-57-1075,中,公立中学校,公立中学校,公立中学校,2015/10/,139.3108266,36.31566198
太田市立綿打中学校,370-0346,太田市新田上田中町182-1,0276-56-1005,中,公立中学校,公立中学校,公立中学校,2015/10/,139.276176,36.29986354
太田市立藪塚本町中学校,379-2304,太田市大原町695,0277-78-2838,中,公立中学校,公立中学校,公立中学校,2015/10/,139.2955441,36.35900414
みどり市立笠懸中学校,379-2313,みどり市笠懸町鹿362-1,0277-76-2011,中,公立中学校,公立中学校,公立中学校,2015/10/,139.2817186,36.39183022
みどり市立笠懸南中学校,379-2311,みどり市笠懸町阿左美829,0277-76-6211,中,公立中学校,公立中学校,公立中学校,2015/10/,139.2931367,36.38892923
太田市立休泊中学校,373-0806,太田市龍舞町3867-2,0276-45-3842,中,公立中学校,公立中学校,公立中学校,2015/10/,139.4114668,36.28415045
太田市立城東中学校,373-0029,太田市韮川町1,0276-26-0511,中,公立中学校,公立中学校,公立中学校,2015/10/,139.4034697,36.31327656
長野原町立西中学校,377-1411,長野原町大字応桑1543-310,0279-85-2249,中,公立中学校,公立中学校,公立中学校,2015/10/,138.5890561,36.50265869
高崎市立倉渕中学校,370-3404,高崎市倉渕町岩氷215-1,027-378-3214,中,公立中学校,公立中学校,公立中学校,2015/10/,138.7849791,36.42998408
前橋市立第六中学校,371-0852,前橋市総社町総社1762-1,027-251-6661,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0349178,36.41000805
前橋市立南橘中学校,371-0044,前橋市荒牧町975,027-231-5351,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0604612,36.42423527
前橋市立南橘中学校みやま分校,371-0046,前橋市川原町826(県立ぐんま学園内),027-231-4700,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0385412,36.43236602
渋川市立渋川中学校,377-0008,渋川市渋川2555-2,0279-22-2548,中,公立中学校,公立中学校,公立中学校,2015/10/,138.9993186,36.49228749
渋川市立渋川北中学校,377-0027,渋川市金井1044,0279-22-2546,中,公立中学校,公立中学校,公立中学校,2015/10/,138.9988584,36.50473998
渋川市立金島中学校,377-0027,渋川市金井2007-1,0279-22-2547,中,公立中学校,公立中学校,公立中学校,2015/10/,138.9826685,36.52042675
渋川市立古巻中学校,377-0005,渋川市有馬753,0279-22-2549,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0100212,36.4638684
榛東村立榛東中学校,370-3503,榛東村新井598-1,0279-54-2100,中,公立中学校,公立中学校,公立中学校,2015/10/,138.9758817,36.43412867
吉岡町立吉岡中学校,370-3604,吉岡町南下1383-2,0279-54-3213,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0086726,36.44506704
渋川市立子持中学校,377-0202,渋川市中郷2258-3,0279-53-3515,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0043698,36.52998982
渋川市立北橘中学校,377-0062,渋川市北橘町真壁46,0279-52-2400,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0410695,36.48771728
渋川市立赤城南中学校,379-1124,渋川市赤城町滝沢191-1,0279-56-2321,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0470721,36.51722894
渋川市立伊香保中学校,377-0102,渋川市伊香保町伊香保544-16,0279-72-2132,中,公立中学校,公立中学校,公立中学校,2015/10/,138.9304535,36.50130098
前橋市立芳賀中学校,371-0131,前橋市鳥取町796,027-269-5829,中,公立中学校,公立中学校,公立中学校,2015/10/,139.1101033,36.42540128
前橋市立鎌倉中学校,371-0051,前橋市上細井町2130,027-234-5757,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0832145,36.41529006
前橋市立大胡中学校,371-0231,前橋市堀越町1152,027-283-2004,中,公立中学校,公立中学校,公立中学校,2015/10/,139.1565035,36.41855693
前橋市立宮城中学校,371-0244,前橋市鼻毛石町1564-1,027-283-2326,中,公立中学校,公立中学校,公立中学校,2015/10/,139.1777082,36.44276115
前橋市立粕川中学校,371-0217,前橋市粕川町西田面138,027-285-2027,中,公立中学校,公立中学校,公立中学校,2015/10/,139.2142708,36.41122956
前橋市立富士見中学校,371-0114,前橋市富士見町田島954-1,027-288-2620,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0818055,36.45603416
桐生市立梅田中学校,376-0601,桐生市梅田町2-甲382,0277-32-1018,中,公立中学校,公立中学校,公立中学校,2015/10/,139.3833573,36.45648051
桐生市立川内中学校,376-0041,桐生市川内町5-358,0277-65-9322,中,公立中学校,公立中学校,公立中学校,2015/10/,139.3070978,36.43959888
桐生市立新里中学校,376-0125,桐生市新里町山上827,0277-74-8549,中,公立中学校,公立中学校,公立中学校,2015/10/,139.237903,36.42920652
桐生市立黒保根中学校,376-0141,桐生市黒保根町水沼342-7,0277-96-2005,中,公立中学校,公立中学校,公立中学校,2015/10/,139.2816211,36.50625777
みどり市立大間々東中学校,376-0101,みどり市大間々町大間々1829-1,0277-73-0516,中,公立中学校,公立中学校,公立中学校,2015/10/,139.2826597,36.42228395
みどり市立大間々中学校,376-0102,みどり市大間々町桐原217,0277-73-1049,中,公立中学校,公立中学校,公立中学校,2015/10/,139.2705814,36.43669809
みどり市立東中学校,376-0304,みどり市東町神戸47,0277-97-2439,中,公立中学校,公立中学校,公立中学校,2015/10/,139.3520288,36.53683709
桐生市立清流中学校,376-0034,桐生市東3-7-1,0277-45-2974,中,公立中学校,公立中学校,公立中学校,2015/10/,139.3502749,36.41042753
長野原町立東中学校,377-1304,長野原町大字長野原1110-1,0279-82-2064,中,公立中学校,公立中学校,公立中学校,2015/10/,138.6557672,36.5488103
草津町立草津中学校,377-1711,草津町464-27,0279-88-2227,中,公立中学校,公立中学校,公立中学校,2015/10/,138.5903344,36.62025339
中之条町立六合中学校,377-1702,中之条町大字生須543-1,0279-95-3572,中,公立中学校,公立中学校,公立中学校,2015/10/,138.6386466,36.60418565
中之条町立中之条中学校,377-0424,中之条町大字中之条町1395-1,0279-75-6464,中,公立中学校,公立中学校,公立中学校,2015/10/,138.8454091,36.60092215
高山村立高山中学校,377-0702,高山村大字中山3750-1,0279-63-2002,中,公立中学校,公立中学校,公立中学校,2015/10/,138.945441,36.62745278
沼田市立沼田中学校,378-0053,沼田市東原新町1801-1,0278-23-1116,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0608972,36.64997117
沼田市立沼田南中学校,378-0015,沼田市戸鹿野町726,0278-23-5557,中,公立中学校,公立中学校,公立中学校,2015/10/,139.045261,36.62929944
沼田市立沼田西中学校,378-0031,沼田市薄根町3580,0278-22-3055,中,公立中学校,公立中学校,公立中学校,2015/10/,139.033188,36.6376461
沼田市立薄根中学校,378-0064,沼田市善桂寺町40,0278-22-3180,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0384697,36.66429162
昭和村立昭和中学校,379-1206,昭和村橡久保488-1,0278-23-7321,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0590414,36.62762608
渋川市立赤城北中学校,379-1103,渋川市赤城町津久田2280,0279-56-2234,中,公立中学校,公立中学校,公立中学校,2015/10/,139.046653,36.55283766
渋川市立小野上中学校,377-0311,渋川市村上3788-1,0279-59-2032,中,公立中学校,公立中学校,公立中学校,2015/10/,138.9368173,36.5482629
沼田市立沼田東中学校,378-0002,沼田市横塚町1118,0278-22-2472,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0871853,36.66499238
沼田市立白沢中学校,378-0121,沼田市白沢町高平75-1,0278-53-2009,中,公立中学校,公立中学校,公立中学校,2015/10/,139.1332013,36.66406957
沼田市立多那中学校,378-0317,沼田市利根町多那732,0278-53-2698,中,公立中学校,公立中学校,公立中学校,2015/10/,139.1457543,36.63790876
沼田市立池田中学校,378-0073,沼田市発知新田町533,0278-23-9330,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0630175,36.69691344
みなかみ町立月夜野中学校,379-1313,みなかみ町月夜野80,0278-62-1605,中,公立中学校,公立中学校,公立中学校,2015/10/,138.9910581,36.67936067
みなかみ町立水上中学校,379-1617,みなかみ町湯原222,0278-72-2124,中,公立中学校,公立中学校,公立中学校,2015/10/,138.9650424,36.77599005
みなかみ町立新治中学校,379-1414,みなかみ町布施238,0278-64-0351,中,公立中学校,公立中学校,公立中学校,2015/10/,138.9247126,36.69002782
沼田市立利根中学校,378-0303,沼田市利根町追貝334,0278-56-2044,中,公立中学校,公立中学校,公立中学校,2015/10/,139.2125994,36.69851229
川場村立川場中学校,378-0101,川場村大字谷地2494,0278-52-2331,中,公立中学校,公立中学校,公立中学校,2015/10/,139.1105457,36.69740306
片品村立片品中学校,378-0415,片品村大字鎌田4480,0278-58-2019,中,公立中学校,公立中学校,公立中学校,2015/10/,139.2399235,36.77248367
みなかみ町立藤原中学校,379-1721,みなかみ町藤原3491,0278-75-2103,中,公立中学校,公立中学校,公立中学校,2015/10/,139.0606419,36.83732717
高崎市立吉井西中学校,370-2128,高崎市吉井町本郷45,027-387-3993,中,公立中学校,公立中学校,公立中学校,2015/10/,138.9718766,36.25866707
高崎市立吉井中央中学校,370-2133,高崎市吉井町吉井川581,027-387-3213,中,公立中学校,公立中学校,公立中学校,2015/10/,138.9892442,36.24881081
前橋市立みずき中学校,371-0017,前橋市日吉町3-9-2,027-231-3575,中,公立中学校,公立中学校,公立中学校,2015/10/,139.076098,36.4005949
太田市立太田中学校,373-0842,太田市細谷町1510,0276-31-3321,中,公立中学校,公立中学校,公立中学校,2015/10/,139.3529551,36.28191359
嬬恋村立嬬恋中学校,377-1613,嬬恋村大字大笹1654-2,0279-96-0009,中,公立中学校,公立中学校,公立中学校,2015/10/,138.5123533,36.50699459
東吾妻村立東吾妻中学校,377-0801,東吾妻町原町5230,0279-68-2243,中,公立中学校,公立中学校,公立中学校,2015/10/,138.8276811,36.57825135
