発生年月日,発生時間,曜日,時間帯,天気,発生場所,路線,道路形状,事故類型,当事者　甲,性別　甲,当事者　乙,性別　乙,BCODE,SCODE,HCODE,EDIT_DAT,x,y
平成25年5月30日,午後１０時ころ,木,夜,曇,富岡市富岡地内,主要地方道前橋安中富岡線,単路,車×歩行者,不明,不明,歩行者,男,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/05/,138.8902986,36.2625675
平成25年5月31日,午後５時２２分ころ,金,昼,晴,太田市吉沢町地内,市町村道,交差点,車両相互,軽四貨物車,男（高齢者）<br>,軽四乗用車,女,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/06/,139.3756339,36.35173985
平成25年6月6日,午後８時４３分ころ,木,夜,曇,渋川市赤城町長井小川田地内,関越道新潟線,単路,車両×歩行者,普通乗用車,男,歩行者,女,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/06/,139.0631354,36.57069987
平成25年6月7日,午前７時３２分ころ,金,昼,曇,太田市朝日町地内,県道太田大泉線,交差点,車×自転車,普通乗用車,男（高齢者）,自転車,女,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/06/,139.4023918,36.27920666
平成25年6月20日,午前１０時ころ,木,昼,曇,桐生市相生町地内,市道,単路,車両単独,原付,女（高齢者）,電柱,,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/06/,139.3063137,36.41213906
平成25年6月26日,午後７時７分ころ,水,夜,雨,高崎市若田町地内,主要地方道前橋安中富岡線,交差点,車×自転車,普通乗用車,男,自転車,女,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/06/,138.9403174,36.34452873
平成25年7月6日,午前９時４１分ころ,土,昼,晴,高崎市柴崎町地内,市町村道,交差点,車×自転車,普通乗用車,女,自転車,男（高齢者）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/07/,139.0490828,36.3236879
平成25年7月9日,午後１１時２４分ころ,火,夜,曇,桐生市相生町地内,国道１２２号,単路,車×自転車,中型貨物車,男,自転車,男,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/07/,139.3226351,36.3980733
平成25年7月11日,午後２時２０分ころ,木,昼,晴,甘楽郡南牧村大字砥沢地内,主要地方道下仁田臼田線,単路,車両単独,普通乗用車（高齢者）,男,石垣,,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/07/,138.6727653,36.1565745
平成25年7月21日,午後１１時１３分ごろ,日,夜,曇,館林市富士原町地内,国道３５４号,単路,車×自転車,普通乗用車,女,自転車,男（高齢者）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/07/,139.5208399,36.235523
平成25年7月27日,午後９時４５分ごろ,土,夜,曇,太田市山之神町地内,県道国定藪塚線,交差点,車両単独,普通乗用車,男,電柱,,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/07/,139.3102745,36.3469161
平成25年7月30日,午後８時ごろ,火,夜,曇,安中市安中地内,県道一本木平小井戸安中線,単路,車両×歩行者,普通乗用車,女,歩行者,女（高齢者）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/08/,138.9047909,36.33221827
平成25年8月5日,午前２時３０分ごろ,月,夜,雨,桐生市広沢町地内,国道５０号,単路,車×歩行者,大型貨物車,男,歩行者,男（高齢者）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/08/,139.3192303,36.38680562
平成25年8月8日,午後６時５１分ごろ,木,昼,曇,太田市新田花香塚町地内,国道１７号,交差点,車輌相互,普通乗用車,男,普通自動二輪車,男,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/08/,139.2597673,36.29209899
平成25年8月12日,午後２時１０分ごろ,月,昼,晴,伊勢崎市東本町地内,国道４６２号,単路,車両相互,軽四乗用車,女,大型貨物車,男,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/08/,139.2077278,36.31861205
平成25年8月15日,午後９時１８分ごろ,木,夜,曇,高崎市東国分町地内,関越道新潟線・下り,単路,車両単独,普通乗用車,女,ガードロープ等,,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/08/,139.0248886,36.39765568
平成25年8月20日,午前７時４７分ごろ,火,昼,晴,桐生市天神町地内,市道,単路,車×歩行者,普通乗用車,男,歩行者,男（高齢者）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/08/,139.3511322,36.4261746
平成25年8月21日,午前８時４３分ごろ,水,昼,曇,邑楽郡大泉町坂田地内,国道３５４号,交差点,車×歩行者,大型貨物車,男,歩行者,女,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/08/,139.4074124,36.2575597
平成25年8月23日,午後３時１５分ごろ,金,昼,雨,吾妻郡東吾妻町大字五町田地内,主要地方道渋川東吾妻線,単路,車×歩行者,普通貨物車,男,歩行者,男（高齢者）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/08/,138.9101,36.54952146
平成25年8月26日,午前６時２０分ごろ,月,昼,晴,伊勢崎市五目牛町地内,国道１７号,単路,車両相互,中型貨物車,男,中型貨物車,男,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/09/,139.2032079,36.35776969
平成25年9月1日,午前８時１８分ごろ,日,昼,晴,伊勢崎市三和町地内,市道,鉄道線路内,列車×原付,原付,男,列車,男,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/09/,139.2286918,36.34739143
平成25年9月6日,午前３時００分ごろ,金,夜,曇,太田市由良町地内,県道太田境東線,単路,車×歩行者,不明,不明,歩行者,女,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/09/,139.3376897,36.28762096
平成25年9月10日,午後１１時３７分ごろ,火,夜,晴,高崎市吉井町小串地内,国道２５４号,交差点,車×歩行者,中型貨物車,男,歩行者,男,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/09/,139.0236227,36.25030911
平成25年9月12日,午前９時４４分ごろ,木,昼,晴,前橋市表町地内,県道石倉前橋停車場線,交差点,車×歩行者,普通乗用車,女（高齢者）,歩行者,男,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/09/,139.0708632,36.38410948
平成25年9月16日,午前０時５９分ごろ,月,夜,曇,伊勢崎市ひろせ町地内,国道４６２号,単路,車両単独,普通乗用車,男,電柱,,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/09/,139.197038,36.30082094
平成25年9月30日,午前４時２０分ごろ,月,夜,曇,前橋市天川大島町地内,主要地方道前橋館林線,単路,車両単独,普通乗用車,男,信号柱,,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/10/,139.0999999,36.37292196
平成25年10月6日,午後７時５１分ごろ,日,夜,晴,太田市新田大根町地内,県道大原境三ツ木線,交差点,車×歩行者,軽四乗用車,女,歩行者,女（高齢者）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/10/,139.2800547,36.31194091
平成25年10月11日,午後７時１８分ごろ,金,夜,晴,沼田市久屋原町地内,市町村道,交差点,車×歩行者,軽四貨物車,男（高齢者）,歩行者,女（高齢者）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/10/,139.1089885,36.66560088
平成25年10月18日,午前３似１０分ごろ,金,夜,晴,太田市藪塚町地内,主要地方道太田大間々線,単路,車両相互,軽四貨物車,男,普通乗用車,男,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/10/,139.3218642,36.35083977
平成25年10月29日,午前２時４６分ごろ,火,夜,晴,館林市小桑原町地内,主要地方道佐野行田線,単路,車×歩行者,大型貨物車,男,歩行者,男,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/10/,139.5244919,36.23428865
平成25年11月1日,午後１時１２分ごろ,金,昼,晴,伊勢崎市日乃出町地内,市道,交差点,車×自転車,普通乗用車,男（高齢者）,自転車,女（高齢者）<br>,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/11/,139.2266443,36.3205102
平成25年11月1日,午後１１時１５分ごろ,金,夜,晴,前橋市総社町総社地内,市道,単路,車×歩行者,大型貨物車,男,歩行者,男,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/11/,139.0367814,36.40111413
平成25年11月5日,午後１時２４分ごろ,火,昼,晴,伊勢崎市長沼町地内,市道,交差点,車×歩行者,中型貨物車,男,歩行者,女（高齢者）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/11/,139.2136634,36.26505244
平成25年11月6日,午後０時４７分ごろ,水,昼,晴,伊勢崎市西久保町地内,国道５０号,単路,車両相互,普通乗用車,男,軽四乗用車,女（高齢者）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/11/,139.232371,36.37875911
平成25年11月11日,午前７時７分ごろ,月,昼,晴,太田市熊野町地内,県道佐野太田線,交差点,車×歩行者,普通乗用車,男,歩行者,男（高齢者）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/11/,139.3859135,36.30213947
平成25年11月13日,午後５時２分ごろ,水,夜,雪,利根郡片品村大字東小川４６５８番地７,市町村道,単路,車両単独,軽四貨物車,男,,,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/11/,139.3456655,36.82238246
平成25年11月26日,午後４時３３分ごろ,火,夜,晴,太田市吉沢町地内,主要地方道足利伊勢崎線,交差点,車×歩行者,軽四貨物車,男,歩行者,女（高齢者）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/11/,139.3689432,36.33731302
平成25年12月5日,午後８時６分ごろ,木,夜,晴,伊勢崎市山王町地内,主要地方道伊勢崎本庄線,単路,車×歩行者,普通乗用車,男,歩行者,女（高齢者）<br>,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/12/,139.1895871,36.30188479
平成25年12月9日,午後３時４５分ごろ,月,昼,晴,高崎市中居町地内,市町村道,交差点,車×歩行者,軽四貨物車,女（高齢者）,歩行者,男（高齢者）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/12/,139.0456254,36.31639525
平成25年12月15日,午後５時５分ごろ,日,夜,晴,前橋市泉沢町地内,市町村道,交差点,車×自転車,軽四乗用車,女（高齢者）,自転車,男（高齢者）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/12/,139.1605614,36.39843558
平成25年12月18日,午前７時５１分ごろ,水,昼,曇,甘楽郡下仁田町大字西野牧地内,主要地方道下仁田軽井沢線,交差点,車×歩行者,軽四乗用車,女,歩行者,女（高齢者）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/12/,138.7070397,36.24290436
平成25年12月18日,午後５時１５分ごろ,水,夜,雨,邑楽郡大泉町大字吉田地内,主要地方道足利千代田線,交差点,車×原付,軽四乗用車,女,原付,男,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/12/,139.4164938,36.24305411
平成25年12月20日,午前９時３７分ごろ,金,昼,雨,みどり市笠懸町阿左美地内,市道,交差点,車両相互,普通乗用車,男,普通貨物車,女,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2013/12/,139.2866169,36.40536658
平成25年12月31日,午後８時１５分ごろ,火,夜,晴,邑楽郡千代田町大字木崎地内,市町村道,単路,車両単独,自転車,男,,,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,交通死亡事故発生場所（平成２５年中）,2014/01/,139.4603623,36.21145893
平成26年1月4日,午前５時４２分ごろ,土,夜,晴,太田市岩瀬川町地内,国道３５４号,単路,車×歩行者,軽四貨物車,男,歩行者,男（高齢者）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/01/,139.3599759,36.27001169
平成26年1月6日,午前６時１５分ごろ,月,夜,晴,前橋市樋越町地内,主要地方道前橋大間々桐生線,交差点,車×歩行者,大型貨物車,男,歩行者,男（高齢者）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/01/,139.1742254,36.41128641
平成26年1月10日,午前１１時６分ごろ,金,昼,晴,高崎市上佐野町地内,県道和田田中倉賀野線,交差点,車×自転車,普通貨物車,男,自転車,女（高齢者）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/01/,139.0242192,36.30744117
平成26年1月10日,午後１０時５１分ごろ,金,夜,晴,高崎市京目町地内,市町村道,交差点,車×歩行者,普通乗用車,女,歩行者,男,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/01/,139.0534852,36.34745042
平成26年1月22日,午前０時１７分ごろ,水,夜,曇,邑楽郡邑楽町大字新中野地内,主要地方道足利邑楽行田線,単路,車×歩行者,中型貨物車,男,歩行者,男（高齢者）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/01/,139.467821,36.25498249
平成26年1月23日,午前３時５５分ごろ,木,夜,晴,利根郡昭和村大字森下地内,県道下久屋渋川線,単路,車×原付,軽四乗用車,女,原付（二種）,男,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/01/,139.0609565,36.62880052
平成26年1月26日,午後８時３７分ごろ,日,夜,曇,前橋市広瀬町地内,市町村道,交差点,車×歩行者,普通乗用車,男,歩行者,男（高齢者）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/01/,139.1141396,36.35601709
平成26年1月29日,午後５時５５分ごろ,水,夜,晴,前橋市柏倉町地内,主要地方道大胡赤城線,交差点,車×自転車,軽四乗用車,男,自転車,男,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/01/,139.1704481,36.4533832
平成26年1月31日,午前４時１５分ごろ,金,夜,晴,太田市大原町地内,主要地方道大間々世良田線,単路,車×歩行者,軽四乗用車,男,歩行者,女（高齢者）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/02/,139.2868084,36.37213087
平成26年2月3日,午後５時４２分ごろ,月,夜,晴,高崎市箕郷町上芝地内,主要地方道高崎安中渋川線,単路,車×トラクター,普通乗用車,男,小型特殊車,男（高齢者）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/02/,138.9577889,36.38749457
平成26年2月23日,午後６時４５分ごろ,日,夜,晴,安中市松井田町地内,国道１８号,単路,車両相互,普通乗用車,男（高齢者）,大型貨物車,男,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/02/,138.695668,36.32378729
平成26年2月26日,午後６時２８分ごろ,水,夜,晴,桐生市新宿地内,県道桐生新田木崎線,交差点,車×自転車,普通乗用車,男,自転車,女,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/02/,139.3434678,36.39344384
平成26年2月27日,午前１時１５分ごろ,木,夜,晴,邑楽郡大泉町大字吉田地内,市町村道,単路,車×歩行者,普通乗用車,女,歩行者,女（高齢者）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/02/,139.4221738,36.24160366
平成26年2月27日,午前４時９分ごろ,木,夜,晴,太田市南矢島町地内,国道３５４号,交差点,車×歩行者,中型乗用車,男,歩行者,男（高齢者）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/02/,139.3850552,36.25914393
平成26年3月15日,午前９自２０分ごろ,土,昼,晴,高崎市請地町地内,主要地方道高崎駒形線,単路,車×歩行者,軽四乗用車,男,歩行者,女（高齢者）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/03/,139.0044492,36.33406389
平成26年3月15日,午後８時２５分ごろ,土,夜,晴,桐生市堤町地内,主要地方道前橋大間々桐生線,交差点,車両相互,軽四乗用車,男（高齢者）,普通乗用車,女（高齢者）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/03/,139.3183458,36.41596819
平成26年3月16日,午前３時５５分ごろ,日,夜,晴,伊勢崎市日乃出町地内,主要地方道足利伊勢崎線,単路,車両単独,軽四乗用車,女,ガードレール,,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/03/,139.2186909,36.32215921
平成26年3月19日,午前１時１２分ごろ,水,夜,晴,館林市赤生田町地内,国道３５４号,単路,車×歩行者,普通乗用車,男,歩行者,女（高齢者）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,交通死亡事故発生場所（平成２６年中）,2014/03/,139.5583171,36.23068481
